Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
YI,"111, Inc.",8.15,$664.58M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.8,$34.76M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",22.9,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.8969,$59.03M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",18.14,$1.16B,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.9,$31.68M,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow
FCCY,1st Constitution Bancorp (NJ),18.75,$161.36M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,46.63,$1.2B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",8.76,$980.08M,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
XXII,"22nd Century Group, Inc",1.92,$239.31M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii
TWOU,"2U, Inc.",69.59,$4.05B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",15.09,$2.17B,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin
DDD,3D Systems Corporation,11.16,$1.28B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,207.1,$119.25B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
TPNL,"3PEA International, Inc.",7.83,$363.31M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl
WBAI,500.com Limited,14.12,$599.9M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
JOBS,"51job, Inc.",69.34,$4.28B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,62.23,$9.22B,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,19.8,$1.89B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,3.63,$78.56M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,51.15,$8.59B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/aos
